bvid,comment_id,comment_time,comment_user_id,comment_user_name,comment_content,comment_likes,comment_crawler_time
BV1E14y1v724,130080385408,2022-09-14 21:49:40,24618396,116129034,省流:为了个升旗台下的系统冷却,6702,2022-09-16 20:40:52
BV1E14y1v724,130225987296,2022-09-16 06:36:54,1068064168,约拿在大海,"有人说没灵魂，得用手拉
你想没想过1949开国大典升旗就是电动升旗",2068,2022-09-16 20:40:52
BV1E14y1v724,130113829264,2022-09-15 07:34:14,420712023,野生大黑,空调发明出来就是给设备降温的[doge]人是沾了设备的光,2926,2022-09-16 20:40:52
BV1E14y1v724,130104587440,2022-09-15 01:27:51,49695952,爱蜜莉娅世界第一可爱,"没想到吧，空调还有这样的用途
师傅，你是干什么工作的？
空调：？",840,2022-09-16 20:40:52
BV1E14y1v724,130086579456,2022-09-14 22:35:56,32519866,万能碱水面,那，为啥不整两个预防空调坏了，还对称[妙啊],700,2022-09-16 20:40:52
BV1E14y1v724,130135348032,2022-09-15 12:04:02,1284938,所谓双鱼,电梯楼顶顶部也装有空调，所以进入会有点凉，其实是给控制系统降温的[嗑瓜子][嗑瓜子],199,2022-09-16 20:40:52
BV1E14y1v724,130157539376,2022-09-15 15:59:43,7293972,雨不不停,强迫症的我，好奇的问为什么不做成隐藏式,44,2022-09-16 20:40:52
BV1E14y1v724,130121446608,2022-09-15 09:30:28,603814,radianter,我想知道每天都升旗，那前一天的旗什么时候取下来？旗是有多个循环用，还是像有些人说的一面旗只用一次？,168,2022-09-16 20:40:52
BV1E14y1v724,130159177328,2022-09-15 16:21:24,43973852,E_Liebknecht,其实旗台下面有房间的，你们去tam可以看看，有时候能看到换岗从下面出来,34,2022-09-16 20:40:52
BV1E14y1v724,130124935808,2022-09-15 10:13:46,21143049,醉看红尘冷红颜,因为使用场景十分重要，为了保证空调的运行正常，那么需要另外一台空调，为其恒温。为了保证这台空调运行正常，那么还需要另外一台空调……[doge],14,2022-09-16 20:40:52
BV1E14y1v724,130206505840,2022-09-15 23:18:25,3015224,雅俗共赏shin,咋不整个装饰，这样好突兀[笑哭],6,2022-09-16 20:40:52
BV1E14y1v724,130123074480,2022-09-15 09:50:59,203607687,一个爱看动画片小男孩,懂不懂这空调吃国家饭[害羞],11,2022-09-16 20:40:52
BV1E14y1v724,130120058544,2022-09-15 09:13:18,332997838,随墨游心,18年时用的三菱空调，现在什么牌子的不知道,11,2022-09-16 20:40:52
BV1E14y1v724,130110510800,2022-09-15 05:10:49,285828761,懵然无知,什么牌子的，这么有排面。,17,2022-09-16 20:40:52
BV1E14y1v724,130230640032,2022-09-16 08:19:47,246598646,年薪50万之前不换昵称,你猜 空调他么干啥用的？,1,2022-09-16 20:40:52
BV1E14y1v724,130219589712,2022-09-16 01:44:26,498992923,fry先森,一级负荷中特别重要的负荷…,1,2022-09-16 20:40:52
BV1E14y1v724,130209717280,2022-09-15 23:43:54,173469144,林宏靖,？整个水冷会不会好点[思考],1,2022-09-16 20:40:52
